script,metric,score,tail_accuracy_1pct,tail_accuracy_5pct,tail_accuracy_10pct,proxy_fraction,time_seconds,proxy_seconds,oracle_seconds,judge_seconds,judge_eval_seconds,judge_calls,proxy_total_tokens,oracle_total_tokens
enron_filter_base,no-judge,0.904,0,0,0.04,0.7,66.7,524.743,81.054,0,0,0,3351093,1078009
review_extract_praised_games_base,no-judge,0.974,0,0.48,0.74,0.55,33.4,264.768,72.657,0,0,0,1622448,704328
court_reverse_base,no-judge,1,1,1,1,0,418.7,3330.049,3380.016,0,0,0,6234908,6242639
legal_doc_extract_base,no-judge,0.992,0.333,0.846,0.922,0.77,111.4,875.012,155.121,0,0,0,5749963,1443168
court_opinion_summarization_base,no-judge,1,1,1,1,0,524.7,4042.888,3483.908,0,0,0,6339929,6264995
random_pubmed_articles_classification_base,no-judge,0.98,0,0.6,0.8,0.7,73.1,581.168,68.46,0,0,0,4169531,877087
enron_filter,judge,0.954,0,0.08,0.54,0.51,117.9,499.165,131.68,413.86,46.787,494,3351073,1736617
review_extract_praised_games,judge,0.928,0,0,0.283,0.7,59.2,247.145,50.464,65.197,76.461,301,1622458,479794
court_reverse,judge,0.928,0,0.195,0.402,0.85,577.6,3319.796,665.58,321.232,6315.956,150,6235153,1293296
legal_doc_extract,judge,0.953,0,0.069,0.525,0.87,120.4,864.244,70.793,20.307,16.163,66,5750012,831059
enron_extract_emails_base,no-judge,0.909,0,0,0.09,0.55,364.1,2851.893,2434.118,0,0,0,3674726,1887407
wiki_talk_extract_usernames_base,no-judge,0.997,0.7,0.94,0.97,0.9,46,365.92,21.646,0,0,0,1552221,149316
wiki_talk_first_timestamp_base,no-judge,1,1,1,1,0.96,47.1,375.175,12.388,0,0,0,1561414,62665
wiki_talk_last_timestamp_base,no-judge,0.999,0.9,0.98,0.99,0.9,48.1,382.543,28.029,0,0,0,1561072,162806
enron_extract_emails,judge,0.96,0.083,0.403,0.611,0.7,381.5,2874.55,1996.724,37.284,26.092,301,3676596,1296564
wiki_talk_extract_usernames,judge,0.996,0.693,0.916,0.958,0.96,45.2,353.087,10.334,4.769,4.247,44,1552226,71687
wiki_talk_first_timestamp,judge,1,1,1,1,0.96,48.7,382.457,12.535,4.868,2.317,44,1561414,65250
wiki_talk_last_timestamp,judge,0.999,0.9,0.98,0.99,0.9,54.7,381.044,27.693,40.589,2.336,98,1561054,158331
court_opinion_summarization,judge,0.976,0,0.538,0.76,0.65,1294,3956.145,1540.154,2054.592,3094.751,353,6329276,2986296
random_pubmed_articles_classification,judge,0.991,0.1,0.82,0.91,0.65,102.7,573.751,84.175,235.175,20.441,353,4169525,1090092
